kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"239188","032","03212","522191","03212DL","2375","SCC","2","A","0","00000001","0354","2",40350000
"239188","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","0354","2",6800000
"237373","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0354","2",7812000
"239188","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","0354","2",421200000
"239188","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0354","2",700523000
"237373","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","0354","2",303330000
"239188","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0354","2",440228000
"239188","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0354","2",18708513000
"237373","032","03212","521211","03212DL","2376","SAC","2","A","0","00000001","0354","2",455982000
"239188","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","0354","2",156500000
"239188","032","03212","524119","03212DL","2375","SCC","2","A","0","00000001","0354","2",2442812000
"239188","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0354","2",3373908000
"239188","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","0354","2",51000
"239188","032","03212","524111","03212DL","2375","QDD","2","A","0","00000001","0354","2",237603000
"237373","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0354","2",225154000
"239188","032","03212","536111","03212DL","2375","RBQ","2","A","0","00000001","0354","2",135000000
"403875","032","03212","522112","03212WA","2378","EBA","2","A","0","00000001","0953","2",5796000
"403875","032","03212","511153","03212WA","2378","EBA","2","A","0","00000001","0953","2",432384000
"403875","032","03212","521211","03212DL","2376","SAC","2","A","0","00000001","0953","2",500067000
"403875","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","0953","2",514769000
"403875","032","03212","521219","03212DL","2376","SAC","2","A","0","00000001","0953","2",2035944000
"403875","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0953","2",293208000
"403875","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0953","2",1384966000
"403875","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","0953","2",1800000
"403875","032","03212","522151","03212DL","2376","SAC","2","A","0","00000001","0953","2",141600000
"238741","032","03212","521811","03212DL","2375","QDD","2","A","0","00000001","0751","2",11400000
"238741","032","03212","532111","03212DL","2375","RAL","2","D","0","00000001","0751","2",80680000
"238741","032","03212","524114","03212DL","2375","DDA","2","A","0","00000001","0751","2",3500000
"238741","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0751","2",71732000
"238741","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","0751","2",136554000
"238741","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","0751","2",135000000
"238741","032","03212","524119","03212DL","2375","SCC","2","D","0","00000001","0751","2",32400000
"238741","032","03212","521211","03212DL","2375","SCC","2","D","0","00000001","0751","2",39800000
"238741","032","03212","521219","03212WA","2378","EBA","2","A","0","00000001","0751","2",54422000
"403827","032","03212","524111","03212DL","2375","QDD","2","A","0","00000001","2201","2",234800000
"403827","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","2201","2",1396324000
"403827","032","03212","512211","03212WA","2378","EBA","2","A","0","00000001","2201","2",74850000
"440013","032","03212","522112","03212WA","2378","EBA","2","A","0","00000001","2202","2",3780000
"403827","032","03212","524113","03212DL","2375","DDA","2","A","0","00000001","2201","2",9000000
"440013","032","03212","521811","03212DL","2376","SDA","2","A","0","00000001","2202","2",90000000
"403827","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","2201","2",19106972000
"440013","032","03212","511153","03212WA","2378","EBA","2","A","0","00000001","2202","2",200469000
"403827","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","2201","2",217620000
"403827","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","2201","2",61760000
"440013","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","2202","2",2000000
