kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403828","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",12/10/2022,1800000
"622035","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2022,4779512
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",06/04/2022,3150000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",07/04/2022,8025000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",23/05/2022,450000
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",30/09/2022,2328000
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",11/11/2022,2625000
"239260","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",02/03/2022,184900
"238010","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",21/04/2022,1000000
"403833","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/07/2022,520996
"403823","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",05/01/2022,31225632
"653526","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",07/06/2022,1200000
"403824","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/10/2022,71280
"403832","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",10/08/2022,1200000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",14/04/2022,490500
"403824","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/05/2022,281160
"403879","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",01/07/2022,2150000
"403838","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/07/2022,32831
"427582","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",17/01/2022,898300
"403839","032","03212","425132","0000000","0000","000","0","D","0","00000001","0000","2",26/01/2022,300000
"403839","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",22/07/2022,72500000
"427618","032","03212","425129","0000000","0000","000","0","D","0","00000001","0000","2",18/11/2022,-4566999
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",17/06/2022,1400000
"403837","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/07/2022,3594934
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",30/03/2022,20500000
"352595","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",01/07/2022,995000
"237373","032","03212","425913","0000000","0000","000","0","D","0","00000001","0000","2",11/03/2022,40743549
"237373","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",22/04/2022,1000000
"239188","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","7",28/03/2022,-6745000
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",22/02/2022,600000
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",27/05/2022,2100000
"238741","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",15/02/2022,10202000
"403827","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",21/03/2022,300000
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",02/02/2022,5750000
"440013","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",04/04/2022,1000000
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",24/03/2022,1110000
"403828","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/08/2022,1032650
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",14/03/2022,600000
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",14/10/2022,160000
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",06/12/2022,150000
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",11/08/2022,5000000
"622035","032","03212","424119","0000000","0000","000","0","F","0","00000001","0000","2",21/11/2022,57330000
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",04/03/2022,25245
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",23/02/2022,150000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",25/10/2022,13500000
"403836","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",07/04/2022,2960750
"626402","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",31/08/2022,31999999
"427511","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",05/10/2022,6024000
"238010","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",02/06/2022,1900000
"238010","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",10/06/2022,8900000
"403823","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",24/08/2022,12600000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",22/11/2022,4150000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",18/11/2022,3845000
"403830","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",14/01/2022,17260000
"403829","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",06/09/2022,590000
"403879","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",29/06/2022,6340000
"403838","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",27/05/2022,975000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",20/04/2022,100000
"427582","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",01/04/2022,426000
"403839","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2022,797076
"403839","032","03212","425132","0000000","0000","000","0","D","0","00000001","0000","2",24/03/2022,0
"427618","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",31/03/2022,1589000
"427618","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",24/11/2022,31175000
"634146","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/12/2022,3836030
"427630","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",22/11/2022,300000
"634146","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",17/05/2022,334020
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",04/03/2022,32400000
"403820","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/12/2022,154032
"239188","032","03212","424911","0000000","0000","000","0","F","0","00000001","0000","2",20/06/2022,693246
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",04/10/2022,100000
"403875","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",25/11/2022,1539000
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",20/04/2022,200000
"238741","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",10/08/2022,-120
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",20/01/2022,925000
"440013","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",27/07/2022,3000000
"440013","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",23/05/2022,150000
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",17/11/2022,2440000
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",25/04/2022,170000
"622035","032","03212","424112","0000000","0000","000","0","F","0","00000001","0000","2",22/07/2022,69120005
"622035","032","03212","424911","0000000","0000","000","0","F","0","00000001","0000","2",12/09/2022,595580
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",19/04/2022,2700000
"427511","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/05/2022,2900129
"427511","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",06/12/2022,32400000
"403835","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",26/07/2022,470000
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/11/2022,54978
"238010","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/09/2022,4967618
